age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75,-1,transportation,2012-06-28-20-30,"south san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,gemini,sometimes,english,"about me:  i would love to think that i was some some kind of intellectual: either the dumbest smart guy, or the smartest dumb guy. can't say i can tell the difference. i love to talk about ideas and concepts. i forge odd metaphors instead of reciting cliches. like the simularities between a friend of mine's house and an underwater salt mine. my favorite word is salt by the way (weird choice i know). to me most things in life are better as metaphors. i seek to make myself a little better everyday, in some productively lazy way. got tired of tying my shoes. considered hiring a five year old, but would probably have to tie both of our shoes... decided to only wear leather shoes dress shoes.  about you:  you love to have really serious, really deep conversations about really silly stuff. you have to be willing to snap me out of a light hearted rant with a kiss. you don't have to be funny, but you have to be able to make me laugh. you should be able to bend spoons with your mind, and telepathically make me smile while i am still at work. you should love life, and be cool with just letting the wind blow. extra points for reading all this and guessing my favorite video game (no hints given yet). and lastly you have a good attention span.","currently working as an international agent for a freight forwarding company. import, export, domestic you know the works. online classes and trying to better myself in my free time. perhaps a hours worth of a good book or a video game on a lazy sunday.","making people laugh. ranting about a good salting. finding simplicity in complexity, and complexity in simplicity.","the way i look. i am a six foot half asian, half caucasian mutt. it makes it tough not to notice me, and for me to blend in.","books: absurdistan, the republic, of mice and men (only book that made me want to cry), catcher in the rye, the prince.  movies: gladiator, operation valkyrie, the producers, down periscope.  shows: the borgia, arrested development, game of thrones, monty python  music: aesop rock, hail mary mallon, george thorogood and the delaware destroyers, felt  food: i'm down for anything.",food. water. cell phone. shelter.,duality and humorous things,trying to find someone to hang out with. i am down for anything except a club.,i am new to california and looking for someone to wisper my secrets to.,you want to be swept off your feet! you are tired of the norm. you want to catch a coffee or a bite. or if you want to talk philosophy.
35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,2012-06-29-21-41,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,cancer,no,"english (fluently), spanish (poorly), french (poorly)",i am a chef: this is what that means. 1. i am a workaholic. 2. i love to cook regardless of whether i am at work. 3. i love to drink and eat foods that are probably really bad for me. 4. i love being around people that resemble line 1-3. i love the outdoors and i am an avid skier. if its snowing i will be in tahoe at the very least. i am a very confident and friendly. i'm not interested in acting or being a typical guy. i have no time or patience for rediculous acts of territorial pissing. overall i am a very likable easygoing individual. i am very adventurous and always looking forward to doing new things and hopefully sharing it with the right person.,dedicating everyday to being an unbelievable badass.,being silly. having ridiculous amonts of fun wherever. being a smart ass. ohh and i can cook. ;),,i am die hard christopher moore fan. i don't really watch a lot of tv unless there is humor involved. i am kind of stuck on 90's alternative music. i am pretty much a fan of everything though... i do need to draw a line at most types of electronica.,delicious porkness in all of its glories. my big ass doughboy's sinking into 15 new inches. my overly resilient liver. a good sharp knife. my ps3... it plays blurays too. ;) my over the top energy and my outlook on life... just give me a bag of lemons and see what happens. ;),,,i am very open and will share just about anything.,
38,available,m,straight,thin,anything,socially,,graduated from masters program,,68,-1,,2012-06-27-09-10,"san francisco, california",,has cats,,pisces but it doesn&rsquo;t matter,no,"english, french, c++","i'm not ashamed of much, but writing public text on an online dating site makes me pleasantly uncomfortable. i'll try to be as earnest as possible in the noble endeavor of standing naked before the world.  i've lived in san francisco for 15 years, and both love it and find myself frustrated with its deficits. lots of great friends and acquaintances (which increases my apprehension to put anything on this site), but i'm feeling like meeting some new people that aren't just friends of friends. it's okay if you are a friend of a friend too. chances are, if you make it through the complex filtering process of multiple choice questions, lifestyle statistics, photo scanning, and these indulgent blurbs of text without moving quickly on to another search result, you are probably already a cultural peer and at most 2 people removed. at first, i thought i should say as little as possible here to avoid you, but that seems silly.  as far as culture goes, i'm definitely more on the weird side of the spectrum, but i don't exactly wear it on my sleeve. once you get me talking, it will probably become increasingly apparent that while i'd like to think of myself as just like everybody else (and by some definition i certainly am), most people don't see me that way. that's fine with me. most of the people i find myself gravitating towards are pretty weird themselves. you probably are too.","i make nerdy software for musicians, artists, and experimenters to indulge in their own weirdness, but i like to spend time away from the computer when working on my artwork (which is typically more concerned with group dynamics and communication, than with visual form, objects, or technology). i also record and deejay dance, noise, pop, and experimental music (most of which electronic or at least studio based). besides these relatively ego driven activities, i've been enjoying things like meditation and tai chi to try and gently flirt with ego death.","improvising in different contexts. alternating between being present and decidedly outside of a moment, or trying to hold both at once. rambling intellectual conversations that hold said conversations in contempt while seeking to find something that transcends them. being critical while remaining generous. listening to and using body language--often performed in caricature or large gestures, if not outright interpretive dance. dry, dark, and raunchy humor.","my large jaw and large glasses are the physical things people comment on the most. when sufficiently stimulated, i have an unmistakable cackle of a laugh. after that, it goes in more directions than i care to describe right now. maybe i'll come back to this.","okay this is where the cultural matrix gets so specific, it's like being in the crosshairs.  for what it's worth, i find myself reading more non-fiction than fiction. it's usually some kind of philosophy, art, or science text by silly authors such as ranciere, de certeau, bataille, baudrillard, butler, stein, arendt, nietzche, zizek, etc. i'll often throw in some weird new age or pop-psychology book in the mix as well. as for fiction, i enjoy what little i've read of eco, perec, wallace, bolao, dick, vonnegut, atwood, delilo, etc. when i was young, i was a rabid asimov reader.  directors i find myself drawn to are makavejev, kuchar, jodorowsky, herzog, hara, klein, waters, verhoeven, ackerman, hitchcock, lang, gorin, goddard, miike, ohbayashi, tarkovsky, sokurov, warhol, etc. but i also like a good amount of ""trashy"" stuff. too much to name.  i definitely enjoy the character development that happens in long form episodic television over the course of 10-100 episodes, which a 1-2hr movie usually can't compete with. some of my recent tv favorites are: breaking bad, the wire, dexter, true blood, the prisoner, lost, fringe.  a smattered sampling of the vast field of music i like and deejay: art ensemble, sun ra, evan parker, lil wayne, dj funk, mr. fingers, maurizio, rob hood, dan bell, james blake, nonesuch recordings, omar souleyman, ethiopiques, fela kuti, john cage, meredith monk, robert ashley, terry riley, yoko ono, merzbow, tom tom club, jit, juke, bounce, hyphy, snap, crunk, b'more, kuduro, pop, noise, jazz, techno, house, acid, new/no wave, (post)punk, etc.  a few of the famous art/dance/theater folk that might locate my sensibility: andy warhol, bruce nauman, yayoi kusama, louise bourgeois, tino sehgal, george kuchar, michel duchamp, marina abramovic, gelatin, carolee schneeman, gustav metzger, mike kelly, mike smith, andrea fraser, gordon matta-clark, jerzy grotowski, samuel beckett, antonin artaud, tadeusz kantor, anna halperin, merce cunningham, etc. i'm clearly leaving out a younger generation of contemporary artists, many of whom are friends.  local food regulars: sushi zone, chow, ppq, pagolac, lers ros, burma superstar, minako, shalimar, delfina pizza, rosamunde, arinells, suppenkuche, cha-ya, blue plate, golden era, etc.",movement conversation creation contemplation touch humor,,viewing. listening. dancing. talking. drinking. performing.,"when i was five years old, i was known as ""the boogerman"".","you are bright, open, intense, silly, ironic, critical, caring, generous, looking for an exploration, rather than finding ""a match"" of some predetermined qualities.  i'm currently in a fabulous and open relationship, so you should be comfortable with that."
23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71,20000,student,2012-06-28-14-22,"berkeley, california",doesn't want kids,likes cats,,pisces,no,"english, german (poorly)",i work in a library and go to school. . .,reading things written by old dead people,playing synthesizers and organizing books according to the library of congress classification system,socially awkward but i do my best,"bataille, celine, beckett. . . lynch, jarmusch, r.w. fassbender. . . twin peaks & fishing w/ john joy division, throbbing gristle, cabaret voltaire. . . vegetarian pho and coffee",,cats and german philosophy,,,you feel so inclined.
29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66,-1,artistic / musical / writer,2012-06-27-21-26,"san francisco, california",,likes dogs and likes cats,,aquarius,no,english,"hey how's it going? currently vague on the profile i know, more to come soon. looking to meet new folks outside of my circle of friends. i'm pretty responsive on the reply tip, feel free to drop a line. cheers.",work work work work + play,creating imagery to look at: http://bagsbrown.blogspot.com/ http://stayruly.blogspot.com/,i smile a lot and my inquisitive nature,"music: bands, rappers, musicians at the moment: thee oh sees. forever: wu-tang books: artbooks for days audiobooks: my collection, thick (thanks audible) shows: live ones food: with stellar friends whenever movies > tv podcast: radiolab, this american life, the moth, joe rogan, the champs",,,,,
29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67,-1,computer / hardware / software,2012-06-29-19-18,"san francisco, california","doesn't have kids, but might want them",likes cats,atheism,taurus,no,"english (fluently), chinese (okay)","i'm an australian living in san francisco, but don't hold that against me. i spend most of my days trying to build cool stuff for my company. i speak mandarin and have been known to bust out chinese songs at karaoke. i'm pretty cheeky. someone asked me if that meant something about my arse, which i find really funny.  i'm a little oddball. i have a wild imagination; i like to think of the most improbable reasons people are doing things just for fun. i love to laugh and look for reasons to do so. occasionally this gets me in trouble because people think i'm laughing at them. sometimes i am, but more often i'm only laughing at myself.  i'm an entrepreneur (like everyone else in sf, it seems) and i love what i do. i enjoy parties and downtime in equal measure. intelligence really turns me on and i love people who can teach me new things.",building awesome stuff. figuring out what's important. having adventures. looking for treasure.,"imagining random shit. laughing at aforementioned random shit. being goofy. articulating what i think and feel. convincing people i'm right. admitting when i'm wrong.  i'm also pretty good at helping people think through problems; my friends say i give good advice. and when i don't have a clue how to help, i will say: i give pretty good hug.",i have a big smile. i also get asked if i'm wearing blue-coloured contacts (no).,"books: to kill a mockingbird, lord of the rings, 1984, the farseer trilogy.  music: the beatles, frank sinatra, john mayer, jason mraz, deadmau5, andrew bayer, everything on anjunadeep records, bach, satie.  tv shows: how i met your mother, scrubs, the west wing, breaking bad.  movies: star wars, the godfather pt ii, 500 days of summer, napoleon dynamite, american beauty, lotr  food: thai, vietnamese, shanghai dumplings, pizza!","like everyone else, i love my friends and family, and need hugs, human contact, water and sunshine. let's take that as given.  1. something to build 2. something to sing 3. something to play on (my guitar would be first choice) 4. something to write/draw on 5. a big goal worth dreaming about 6. something to laugh at",what my contribution to the world is going to be and/or should be. and what's for breakfast. i love breakfast.,out with my friends!,i cried on my first day at school because a bird shat on my head. true story.,you're awesome.
32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65,-1,,2012-06-25-20-45,"san francisco, california",,likes dogs and likes cats,,virgo,,english,life is about the little things. i love to laugh. it's easy to do when one can find beauty and humor in the ugly. this perspective makes for a more gratifying life. it's a gift. we are here to play.,digging up buried treasure,frolicking witty banter using my camera to extract sums of a whole and share my perspective with the world in hopes of opening up theirs being amused by things most people would miss,i am the last unicorn,i like books. ones with pictures. reading them is great too. where do people find the time? i spend more time with other people not reading. i collect books. they sit neatly on my bookshelves.  movies are great. especially on movie night. with brownies.  music. i love (love) it all. unless it's country.  i love food.,laughter amazing people in my life color curiosity music and rhythm a good pair of sunglasses,"synchronicity  there is this whole other realm where the fabrics of our life stories intersect as they dance and play in a magical burst of energy. this realm doesn't need you to believe in it in order to maintain. it is a cluster of synchronicities and happenings. it is a gift to those who notice them. something to be treasured appreciated. there is something special in each and every moment that you experience in your daily waking life. this something brings us back to the age old question: if a tree falls in the forest and no one is there to hear it, does it make a sound? this works in the same way. if you are not consciously there to hear it, see it, taste it, smell it, feel it none of this matters, it's still there. pay attention to the little things, those that are often overlooked. see if you can find the magic in this gift we call life.",plotting to take over the world with my army of segway riding pandas and fire breathing kittens,my typical friday night,
31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity,sagittarius,no,"english, spanish (okay)",,"writing. meeting new people, spending time with friends, seeing films, going to literary events and lectures, sifting through bookstores and thrift stores, exploring the city. i also work full time at an interactive agency.","remembering people's birthdays, sending cards, being thoughtful, arm wrestling",i'm rather approachable (a byproduct of being from a small town in the midwest).,"i like: alphabetized lists, aquariums, autobiographies, beer on tap, ben folds, biking, brunch, citrus, cocktails, color, comfort food, craft projects, dancing, design, diy, essays, fabric stores, field trips, flea markets, foreign films, glee, good, hammond organs, helping lost tourists, indie rock, ice cream, languages, lectures, letterpress, libraries, literary fiction, live shows, mad men, martha stewart living, memoir, mix tapes, non-fiction, npr, plants, puns, sewing, short stories, siestas, singer-songwriters, spicy food, stationery, storytelling, sufjan stevens, talking to strangers, tea, tegan and sara, the office, 30 rock, travel, quilts, quirky movies, wes anderson, wine, writing, yoga.","friends, family, notebook/pen, books, music, travel",things that amuse and inspire me,out and about or relaxing at home with a good book or netflix,,
24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67,-1,,2012-06-29-23-39,"belvedere tiburon, california",doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,gemini but it doesn&rsquo;t matter,when drinking,english,,"oh goodness. at the moment i have 4 jobs, so it'd be nice to find one i could settle into. other than that, i'm making sure i'm surrounded by good people and keeping happy and active",,i'm freakishly blonde and have the same name as that hurricane from a while back.,"i am always willing to try new foods and am not too picky. i do however have an extremely low tolerance to spicy food, i'm working on it tho... i've already conquered pouring chipotle hot sauce all over my burritos. guess i still have a long ways to go. one of my favorite spots in marin is sol food-- simply delicious puerto rican food.  love to laugh so i like to watch a fair amount of comedies- romantic, dark or otherwise. princess bride, pixar!, fear and loathing, caddyshack, thomas crown affair, the birdcage (""chewing gum helps me think""... ""sweetie, you're wasting your gum!""), the big lebowski, star wars (don't judge)  i like historical fiction, murder mysteries, fantasy, utopian/dystopia, and, uh, the occasional romance book. just started the historian and trying to decide whether or not to read the hunger games... already saw battle royale and it was pretty cool, so i'd imagine that collin's version she ripped off has got to be fun to read.  can't get enough music. like it, love it, want some more of it. love to dance to it and to many peoples dismay, sing to it. pretty open to any kind, even country. http://www.youtube.com/watch?v=dghbozbsv18&feature=bfa&list=pl01a90d209abe1ed3&lf=plpp_video","sports/my softball glove coffee. because nobody likes zombies. kindle loud music/concerts candlelight showers oh, my amazing/crazy friends and family girl scout cookies... curse those delectable treats that dethrone my generally reasonable diet-- i could eat a box of those in under an hour",,"in or out... drinking with friends, maybe a bar or dancing my pants off, watching or playing a game","potential friends/lovers/people who come in contact with me, beware ... when alone in my car or the shower, i enjoy singing loudly and off key... and even sometimes when i'm not so alone.",http://www.youtube.com/watch?v=4dxbwzuwsxk let's have some fun and maybe get into a little trouble
37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65,-1,student,2012-06-28-21-08,"san mateo, california",,likes dogs and likes cats,atheism and laughing about it,cancer but it doesn&rsquo;t matter,no,english (fluently),"my names jake. i'm a creative guy and i look for the same in others.  i'm easy going, practical and i don't have many hang ups. i appreciate life and try to live it to the fullest. i'm sober and have been for the past few years.  i love music and i play guitar. i like tons of different bands. i'm an artist and i love to paint/draw etc. and i love creative people.  i've got to say i'm not too big on internet dating. you cant really get an earnest impression of anyone from a few polished paragraphs. but we'll see, you never know.","i have an apartment. i like to explore and check things out. i like good japanese and peruvian food. nothing beats good ceviche on a hot day. or a hot chai on a cold one.  i've been working on my a.o.d. certification but have stalled out. i'm hoping to pursue art but have yet to find the best venue. recently i've been working on a construction job in belmont. it's not my dream job. but for the time being it affords me other opportunities. plus it keeps me in shape, so i shouldn't complain.",i'm good at finding creative solutions to problems. i can organize a living space pretty well. i'm good at making people smile. i'm good at laughing at inappropriate times. and i make a mean bowl of cereal.,i'm short,"i like some tv. i love summer heights high and angry boys. and i love fringe.  i'm reading stiff after finishing elliott smith and the big nothing (loved it). i like biographies.  i love music. it would be impossible to list everything i like because the list grows exponentially. i like george harrison or the clash. i like flight of the conchord's, old radiohead and elliott smith. djali zwan, x, the knitters, the kinks, john lennon, floyd, nina simone, the smiths, seu jorge, the sex pistols, immortal technique, al green, dead kennedy's, the beatles, cat stevens, nine inch nails, the dead, bob dylan etc. my taste is varied, i love music.  and i love movie's, i like all kinds. these days i'm at netflix more often though. and i never miss science friday's.","music, my guitar contrast good food my bike my paintbrush my toothbrush family & friends ok....there's seven",you should,send a message,and say hi.,you can rock the bells
